
> meinumzugsrechner@0.1.0 start
> npx serve out -l 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  23.4.2026 22:57:46 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:57:46 ::1 Returned 404 in 21 ms
 HTTP  23.4.2026 22:57:47 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:57:47 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:57:48 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:57:48 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:57:49 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:57:49 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:57:50 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:57:50 ::1 Returned 404 in 2 ms
 HTTP  23.4.2026 22:57:51 127.0.0.1 GET /
 HTTP  23.4.2026 22:57:51 127.0.0.1 Returned 200 in 7 ms
 HTTP  23.4.2026 22:57:55 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:57:55 ::1 Returned 404 in 2 ms
 HTTP  23.4.2026 22:58:01 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:01 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:06 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:06 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:11 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:11 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:16 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:16 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:22 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:22 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:28 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:28 ::1 Returned 404 in 2 ms
 HTTP  23.4.2026 22:58:34 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:34 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:40 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:40 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:47 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:47 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:58:54 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:58:54 ::1 Returned 404 in 2 ms
 HTTP  23.4.2026 22:59:04 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:59:04 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:59:14 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:59:14 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:59:24 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:59:24 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:59:33 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:59:33 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:59:43 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:59:43 ::1 Returned 404 in 2 ms
 HTTP  23.4.2026 22:59:49 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:59:49 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 22:59:55 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 22:59:55 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 23:00:01 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 23:00:01 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 23:00:07 ::1 GET /_next/webpack-hmr
 HTTP  23.4.2026 23:00:07 ::1 Returned 404 in 1 ms
 HTTP  23.4.2026 23:00:07 ::1 GET /
 HTTP  23.4.2026 23:00:07 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:00:07 ::1 GET /_next/static/css/7491c0b9899566f5.css
 HTTP  23.4.2026 23:00:07 ::1 GET /berechnung.webp
 HTTP  23.4.2026 23:00:07 ::1 GET /checklisten.webp
